=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.12.04 14:23:28 =~=~=~=~=~=~=~=~=~=~=~=
Millis: 52582, Voltage 1: 2.36V, Voltage 2: 1.23V
Millis: 52644, Voltage 1: 2.42V, Voltage 2: 1.25V
Millis: 52682, Voltage 1: 2.39V, Voltage 2: 1.25V
Millis: 52742, Voltage 1: 2.46V, Voltage 2: 1.26V
Millis: 52802, Voltage 1: 2.69V, Voltage 2: 1.29V
Millis: 52857, Voltage 1: 2.67V, Voltage 2: 1.28V
Millis: 52948, Voltage 1: 2.73V, Voltage 2: 1.39V
Millis: 53020, Voltage 1: 2.66V, Voltage 2: 1.28V
Millis: 53073, Voltage 1: 2.77V, Voltage 2: 1.31V
Millis: 53125, Voltage 1: 2.87V, Voltage 2: 1.32V
Millis: 53181, Voltage 1: 2.55V, Voltage 2: 1.24V
Millis: 53247, Voltage 1: 2.41V, Voltage 2: 1.25V
Millis: 53326, Voltage 1: 2.51V, Voltage 2: 1.25V
Millis: 53383, Voltage 1: 2.38V, Voltage 2: 1.27V
Millis: 53422, Voltage 1: 2.73V, Voltage 2: 1.27V
Millis: 53482, Voltage 1: 2.36V, Voltage 2: 1.25V
Millis: 53544, Voltage 1: 2.38V, Voltage 2: 1.48V
Millis: 53606, Voltage 1: 2.39V, Voltage 2: 1.26V
Millis: 53681, Voltage 1: 2.53V, Voltage 2: 1.29V
Millis: 53743, Voltage 1: 2.78V, Voltage 2: 1.29V
Millis: 53782, Voltage 1: 2.65V, Voltage 2: 1.25V
Millis: 53836, Voltage 1: 2.42V, Voltage 2: 1.25V
Millis: 53913, Voltage 1: 2.51V, Voltage 2: 1.25V
Millis: 53977, Voltage 1: 2.44V, Voltage 2: 1.27V
Millis: 54056, Voltage 1: 2.65V, Voltage 2: 1.28V
Millis: 54121, Voltage 1: 2.56V, Voltage 2: 1.26V
Millis: 54161, Voltage 1: 3.80V, Voltage 2: 1.38V
Millis: 54228, Voltage 1: 2.44V, Voltage 2: 1.26V
Millis: 54282, Voltage 1: 2.55V, Voltage 2: 1.28V
Millis: 54345, Voltage 1: 2.77V, Voltage 2: 1.31V
Millis: 54406, Voltage 1: 2.76V, Voltage 2: 1.26V
Millis: 54493, Voltage 1: 2.42V, Voltage 2: 1.27V
Millis: 54554, Voltage 1: 2.50V, Voltage 2: 1.33V
Millis: 54614, Voltage 1: 2.61V, Voltage 2: 1.26V
Millis: 54681, Voltage 1: 2.71V, Voltage 2: 1.29V
Millis: 54721, Voltage 1: 2.54V, Voltage 2: 1.27V
Millis: 54791, Voltage 1: 2.59V, Voltage 2: 1.55V
Millis: 54857, Voltage 1: 2.70V, Voltage 2: 1.27V
Millis: 54908, Voltage 1: 2.49V, Voltage 2: 1.27V
